200
    1     2     3
    2     4     3
    3    10     9
    4     5     6
    5     6     7
    6     1     1
    7     5     6
    8     2     3
    9    10    10
   10     7     7
   11     7     7
   12    11    10
   13     8     7
   14     5     5
   15     3     4
   16     1     2
   17     8     8
   18     1     1
   19    11    10
   20     5     5
   21     5     4
   22     6     5
   23     5     5
   24     3     2
   25    10    10
   26     1     1
   27     9     9
   28     4     5
   29     7     7
   30     5     6
   31     4     3
   32     4     5
   33     2     3
   34     3     2
   35     5     5
   36     5     6
   37     2     1
   38     7     6
   39     9     9
   40     5     4
   41     6     6
   42    10     9
   43     1     1
   44     8     7
   45    11    10
   46     4     4
   47     8     9
   48     6     7
   49     9    10
   50    10     9
   51     3     2
   52     2     1
   53     5     6
   54     4     5
   55    11    10
   56     2     1
   57    11    10
   58     4     4
   59    10     9
   60     5     5
   61     7     6
   62     7     8
   63     8     9
   64    10    10
   65     8     7
   66     2     3
   67     5     6
   68     1     2
   69     5     5
   70     9     9
   71     4     5
   72     5     5
   73     6     7
   74     5     6
   75     6     5
   76    11    10
   77     5     4
   78     3     2
   79     2     2
   80     7     6
   81     1     1
   82     3     3
   83     7     6
   84    10     9
   85     8     9
   86     1     1
   87     1     1
   88     8     9
   89     2     3
   90     8     8
   91     1     2
   92     5     4
   93     5     6
   94     5     5
   95     2     1
   96     3     4
   97     3     2
   98     6     6
   99     1     1
  100     8     9
  101    11    10
  102     4     5
  103     2     3
  104     7     7
  105     3     2
  106     2     3
  107     3     4
  108    11    10
  109     3     2
  110     4     4
  111    11    10
  112     3     4
  113     3     2
  114     9     8
  115     9    10
  116     9    10
  117     1     2
  118     7     8
  119    11    10
  120     2     2
  121     4     5
  122     3     2
  123     6     7
  124     1     2
  125     5     4
  126     3     4
  127    10     9
  128     6     7
  129    11    10
  130    10    10
  131     6     7
  132     3     2
  133    10    10
  134     1     1
  135     6     6
  136     4     5
  137     9     8
  138     3     4
  139     4     5
  140    10     9
  141     9     8
  142     3     4
  143     8     8
  144     5     6
  145     9    10
  146     3     3
  147     5     5
  148     9    10
  149     8     8
  150     1     1
  151     9     8
  152     3     2
  153     8     7
  154     6     5
  155     3     3
  156     1     1
  157     4     5
  158     9     8
  159     1     1
  160     7     6
  161    10    10
  162     8     8
  163     4     3
  164     2     1
  165     7     6
  166     1     1
  167     1     2
  168     8     9
  169     1     1
  170     5     6
  171     3     2
  172     5     5
  173     1     2
  174     7     7
  175     4     4
  176    10    10
  177     4     5
  178     3     2
  179     1     1
  180     8     9
  181     4     4
  182     4     4
  183     1     1
  184     5     5
  185     5     6
  186     4     4
  187     2     1
  188     7     6
  189    10     9
  190     9    10
  191     6     7
  192     3     4
  193     9     9
  194     6     7
  195     3     2
  196    10     9
  197     2     1
  198     1     1
  199    10    10
  200     7     6
86
