500
    1     2     3
    2     4     3
    3    10     9
    4     5     6
    5     6     7
    6     1     1
    7     5     6
    8     2     3
    9    10    10
   10     7     7
   11     7     7
   12    11    10
   13     8     7
   14     5     5
   15     3     4
   16     1     2
   17     8     8
   18     1     1
   19    11    10
   20     5     5
   21     5     4
   22     6     5
   23     5     5
   24     3     2
   25    10    10
   26     1     1
   27     9     9
   28     4     5
   29     7     7
   30     5     6
   31     4     3
   32     4     5
   33     2     3
   34     3     2
   35     5     5
   36     5     6
   37     2     1
   38     7     6
   39     9     9
   40     5     4
   41     6     6
   42    10     9
   43     1     1
   44     8     7
   45    11    10
   46     4     4
   47     8     9
   48     6     7
   49     9    10
   50    10     9
   51     3     2
   52     2     1
   53     5     6
   54     4     5
   55    11    10
   56     2     1
   57    11    10
   58     4     4
   59    10     9
   60     5     5
   61     7     6
   62     7     8
   63     8     9
   64    10    10
   65     8     7
   66     2     3
   67     5     6
   68     1     2
   69     5     5
   70     9     9
   71     4     5
   72     5     5
   73     6     7
   74     5     6
   75     6     5
   76    11    10
   77     5     4
   78     3     2
   79     2     2
   80     7     6
   81     1     1
   82     3     3
   83     7     6
   84    10     9
   85     8     9
   86     1     1
   87     1     1
   88     8     9
   89     2     3
   90     8     8
   91     1     2
   92     5     4
   93     5     6
   94     5     5
   95     2     1
   96     3     4
   97     3     2
   98     6     6
   99     1     1
  100     8     9
  101    11    10
  102     4     5
  103     2     3
  104     7     7
  105     3     2
  106     2     3
  107     3     4
  108    11    10
  109     3     2
  110     4     4
  111    11    10
  112     3     4
  113     3     2
  114     9     8
  115     9    10
  116     9    10
  117     1     2
  118     7     8
  119    11    10
  120     2     2
  121     4     5
  122     3     2
  123     6     7
  124     1     2
  125     5     4
  126     3     4
  127    10     9
  128     6     7
  129    11    10
  130    10    10
  131     6     7
  132     3     2
  133    10    10
  134     1     1
  135     6     6
  136     4     5
  137     9     8
  138     3     4
  139     4     5
  140    10     9
  141     9     8
  142     3     4
  143     8     8
  144     5     6
  145     9    10
  146     3     3
  147     5     5
  148     9    10
  149     8     8
  150     1     1
  151     9     8
  152     3     2
  153     8     7
  154     6     5
  155     3     3
  156     1     1
  157     4     5
  158     9     8
  159     1     1
  160     7     6
  161    10    10
  162     8     8
  163     4     3
  164     2     1
  165     7     6
  166     1     1
  167     1     2
  168     8     9
  169     1     1
  170     5     6
  171     3     2
  172     5     5
  173     1     2
  174     7     7
  175     4     4
  176    10    10
  177     4     5
  178     3     2
  179     1     1
  180     8     9
  181     4     4
  182     4     4
  183     1     1
  184     5     5
  185     5     6
  186     4     4
  187     2     1
  188     7     6
  189    10     9
  190     9    10
  191     6     7
  192     3     4
  193     9     9
  194     6     7
  195     3     2
  196    10     9
  197     2     1
  198     1     1
  199    10    10
  200     7     6
  201     4     4
  202     5     4
  203     3     4
  204     3     4
  205    11    10
  206     2     2
  207     5     5
  208     8     9
  209     5     6
  210     9     8
  211     3     3
  212     9     9
  213     3     2
  214     3     2
  215     8     9
  216    10    10
  217     2     1
  218     6     7
  219     4     4
  220     7     7
  221     3     3
  222     9    10
  223    11    10
  224     8     9
  225     8     7
  226     2     1
  227     6     6
  228     3     2
  229     3     4
  230     7     6
  231     2     2
  232     6     5
  233     5     4
  234     2     3
  235     9     8
  236     6     7
  237     3     2
  238     3     2
  239     3     4
  240     6     6
  241     9     8
  242     6     6
  243    10    10
  244     3     4
  245     2     3
  246     7     8
  247     5     5
  248     3     3
  249     8     7
  250     9     9
  251     1     2
  252     9     8
  253     3     2
  254     9     9
  255     5     6
  256     8     8
  257     7     7
  258     9     9
  259     2     2
  260     9     8
  261    10    10
  262    11    10
  263     2     2
  264     1     2
  265     5     4
  266     6     7
  267     2     1
  268     6     7
  269     8     8
  270     3     2
  271     1     1
  272     9     8
  273     3     3
  274     7     8
  275    10    10
  276     8     9
  277     9    10
  278     1     1
  279     8     8
  280     6     7
  281     2     2
  282     6     7
  283     9    10
  284     5     4
  285     4     3
  286     3     2
  287     9     8
  288    11    10
  289     5     4
  290    10    10
  291     1     1
  292     5     5
  293     9     9
  294     3     3
  295     2     2
  296     9     8
  297     8     7
  298    10     9
  299     5     5
  300    10     9
  301     6     5
  302     4     4
  303    10     9
  304    10    10
  305     9    10
  306     4     3
  307     3     2
  308     5     4
  309     2     1
  310     7     6
  311     2     3
  312     4     3
  313     8     9
  314     9     9
  315     1     1
  316     3     3
  317     2     2
  318     7     8
  319     1     1
  320     4     4
  321     2     3
  322     3     2
  323     8     9
  324     3     3
  325    11    10
  326     8     8
  327     2     1
  328     9    10
  329     1     1
  330     7     8
  331     4     5
  332     5     4
  333     2     2
  334     7     7
  335     1     1
  336     8     8
  337     9    10
  338     5     4
  339     6     7
  340     6     7
  341     4     4
  342    10     9
  343     5     5
  344     7     7
  345    10     9
  346     4     4
  347     5     5
  348     2     1
  349    10    10
  350     1     2
  351     6     7
  352     6     5
  353     9     9
  354    10     9
  355     8     7
  356    10    10
  357    11    10
  358     7     8
  359     3     2
  360    10     9
  361     2     1
  362     3     4
  363     7     8
  364     8     9
  365     2     1
  366     7     6
  367     9    10
  368     5     5
  369    10    10
  370     1     2
  371     1     1
  372     1     1
  373     2     3
  374     5     5
  375     8     7
  376     5     4
  377     1     2
  378     9     9
  379     4     5
  380     9     8
  381     5     4
  382     5     6
  383     4     3
  384     3     4
  385     9    10
  386     3     2
  387     3     4
  388     7     7
  389    10     9
  390     6     5
  391    10    10
  392     9    10
  393     6     6
  394     4     3
  395     5     5
  396     7     6
  397     1     1
  398     7     7
  399    10     9
  400     8     8
  401     1     1
  402     4     4
  403     6     5
  404    11    10
  405     9     9
  406     1     1
  407     5     5
  408     4     3
  409     6     5
  410     6     7
  411     8     8
  412     8     8
  413     7     6
  414    11    10
  415     2     2
  416    10     9
  417    11    10
  418     4     3
  419     1     1
  420     1     1
  421     4     4
  422     3     4
  423     7     8
  424     6     5
  425     4     3
  426     8     8
  427     8     9
  428     5     5
  429     3     3
  430     7     7
  431     4     4
  432     2     3
  433     2     3
  434     5     6
  435     1     2
  436    10    10
  437     4     5
  438     1     1
  439     7     7
  440     4     4
  441     6     5
  442     4     5
  443     5     5
  444     5     5
  445     3     4
  446     8     9
  447     9     8
  448     4     4
  449     7     8
  450     9     8
  451    10    10
  452    10    10
  453     5     6
  454    10    10
  455     1     1
  456     1     1
  457     9    10
  458     4     5
  459     6     6
  460    10     9
  461    11    10
  462     6     5
  463     9     8
  464    10     9
  465     7     7
  466     4     5
  467     1     1
  468     4     5
  469     4     5
  470     6     6
  471     6     5
  472    11    10
  473     6     7
  474     5     5
  475     4     3
  476     5     4
  477     5     6
  478     1     1
  479     3     4
  480     2     2
  481     2     2
  482     2     2
  483     1     2
  484     6     5
  485     3     4
  486     8     8
  487     6     5
  488     4     5
  489     8     8
  490     9    10
  491     3     4
  492    10    10
  493    10    10
  494     7     6
  495     8     8
  496     6     7
  497     3     2
  498     9     8
  499    10     9
  500     2     3
222
